FECHA,HORA,AMPM,WATERQ_Sal
01/08/2013,03:48:00,p.m.,0.05,
01/08/2013,04:24:00,p.m.,0.05,
01/08/2013,04:46:00,p.m.,0.05,
01/08/2013,05:07:00,p.m.,0.05,
02/06/2014,01:30:00,p.m.,0.042,
02/06/2014,12:45:00,p.m.,0.046,
02/11/2012,10:45:00,a.m.,0.06,
02/11/2012,11:15:00,a.m.,0.06,
02/11/2012,11:33:00,a.m.,0.06,
02/11/2012,11:56:00,a.m.,0.08,
05/01/2012,05:55:00,p.m.,0.11,
05/02/2013,06:32:00,p.m.,0.07,
05/02/2013,06:58:00,p.m.,0.07,
05/02/2013,07:18:00,p.m.,0.07,
05/02/2013,07:36:00,p.m.,0.07,
07/08/2014,11:30:00,a.m.,0.042,
07/08/2014,11:50:00,a.m.,0.043,
16/08/2011,05:38:00,p.m.,0.03,
16/08/2011,05:58:00,p.m.,0.035,
16/08/2011,06:18:00,p.m.,0.04,
20/06/2012,02:20:00,p.m.,0.07,
20/06/2012,02:38:00,p.m.,0.07,
20/06/2012,02:57:00,p.m.,0.07,
20/06/2012,03:15:00,p.m.,0.07,
22/02/2011,01:01:00,p.m.,0.04,
22/02/2011,01:35:00,p.m.,0.04,
22/02/2011,01:56:00,p.m.,0.04,
22/02/2011,02:05:00,p.m.,0.04,
22/04/2013,06:29:00,p.m.,0.04,
22/04/2013,06:50:00,p.m.,0.04,
22/08/2012,05:07:00,p.m.,0.07,
22/08/2012,05:25:00,p.m.,0.07,
22/08/2012,05:47:00,p.m.,0.07,
26/11/2013,01:03:00,p.m.,0.05,
26/11/2013,12:28:00,p.m.,0.05,
