FECHA,HORA,AMPM,WATERQ_pH
02/02/2017,07:08:00,p.m.,8.2,
05/01/2012,05:55:00,p.m.,7.5,
08/11/2016,05:00:00,p.m.,7.5,
15/12/2016,10:30:00,a.m.,7.1,
16/08/2011,05:38:00,p.m.,6.8,
16/08/2011,05:58:00,p.m.,6.8,
16/08/2011,06:18:00,p.m.,6.8,
18/08/2016,11:53:00,a.m.,7.9,
20/06/2012,02:20:00,p.m.,7.4,
20/06/2012,02:38:00,p.m.,7.3,
20/06/2012,02:57:00,p.m.,7.3,
20/06/2012,03:15:00,p.m.,7.3,
22/02/2011,01:01:00,p.m.,7,
22/02/2011,01:35:00,p.m.,7.1,
22/02/2011,01:56:00,p.m.,7,
22/02/2011,02:05:00,p.m.,7.1,
22/04/2013,06:29:00,p.m.,0,
22/04/2013,06:50:00,p.m.,0,
22/09/2016,09:15:00,a.m.,7.7,
