FECHA,HORA,AMPM,WATERQ_Temp
08/02/2012,05:25:00,p.m.,28.2,
08/02/2012,05:41:00,p.m.,28.1,
09/08/2011,05:30:00,p.m.,13.5,
09/08/2011,05:44:00,p.m.,13.5,
10/04/2014,03:40:00,p.m.,20.6,
10/04/2014,03:45:00,p.m.,17.6,
11/10/2012,03:59:00,p.m.,20,
11/10/2012,04:08:00,p.m.,20,
11/12/2013,04:19:00,p.m.,26.4,
12/02/2014,02:19:00,p.m.,23,
12/02/2014,03:10:00,p.m.,23.1,
12/10/2011,06:24:00,p.m.,20,
12/10/2011,06:36:00,p.m.,20,
14/02/2017,06:28:00,p.m.,25.9,
14/08/2013,03:58:00,p.m.,14.2,
15/08/2012,04:39:00,p.m.,16.8,
20/08/2014,02:55:00,p.m.,15.8,
28/06/2012,05:02:00,p.m.,16.2,
28/06/2012,05:12:00,p.m.,16.2,
