"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_Redox,DATASET
2012-01-05:05:55,05/01/2012,05:55:00,p.m.,169.3,DATASET-PGY-WATERQ_Redox
2011-08-16:05:38,16/08/2011,05:38:00,p.m.,157.8,DATASET-PGY-WATERQ_Redox
2011-08-16:05:58,16/08/2011,05:58:00,p.m.,-39.7,DATASET-PGY-WATERQ_Redox
2011-08-16:06:18,16/08/2011,06:18:00,p.m.,-78.8,DATASET-PGY-WATERQ_Redox
2012-06-20:02:20,20/06/2012,02:20:00,p.m.,107.5,DATASET-PGY-WATERQ_Redox
2012-06-20:02:38,20/06/2012,02:38:00,p.m.,125.1,DATASET-PGY-WATERQ_Redox
2012-06-20:02:57,20/06/2012,02:57:00,p.m.,130.4,DATASET-PGY-WATERQ_Redox
2012-06-20:03:15,20/06/2012,03:15:00,p.m.,137,DATASET-PGY-WATERQ_Redox
2011-02-22:01:01,22/02/2011,01:01:00,p.m.,160.8,DATASET-PGY-WATERQ_Redox
2011-02-22:01:35,22/02/2011,01:35:00,p.m.,144.9,DATASET-PGY-WATERQ_Redox
2011-02-22:01:56,22/02/2011,01:56:00,p.m.,134,DATASET-PGY-WATERQ_Redox
2011-02-22:02:05,22/02/2011,02:05:00,p.m.,136.1,DATASET-PGY-WATERQ_Redox
2013-04-22:06:29,22/04/2013,06:29:00,p.m.,0,DATASET-PGY-WATERQ_Redox
2013-04-22:06:50,22/04/2013,06:50:00,p.m.,0,DATASET-PGY-WATERQ_Redox
