"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_pH,DATASET
2017-02-02:07:08,02/02/2017,07:08:00,p.m.,8.2,DATASET-PGY-WATERQ_pH
2012-01-05:05:55,05/01/2012,05:55:00,p.m.,7.5,DATASET-PGY-WATERQ_pH
2016-11-08:05:00,08/11/2016,05:00:00,p.m.,7.5,DATASET-PGY-WATERQ_pH
2016-12-15:10:30,15/12/2016,10:30:00,a.m.,7.1,DATASET-PGY-WATERQ_pH
2011-08-16:05:38,16/08/2011,05:38:00,p.m.,6.8,DATASET-PGY-WATERQ_pH
2011-08-16:05:58,16/08/2011,05:58:00,p.m.,6.8,DATASET-PGY-WATERQ_pH
2011-08-16:06:18,16/08/2011,06:18:00,p.m.,6.8,DATASET-PGY-WATERQ_pH
2016-08-18:11:53,18/08/2016,11:53:00,a.m.,7.9,DATASET-PGY-WATERQ_pH
2012-06-20:02:20,20/06/2012,02:20:00,p.m.,7.4,DATASET-PGY-WATERQ_pH
2012-06-20:02:38,20/06/2012,02:38:00,p.m.,7.3,DATASET-PGY-WATERQ_pH
2012-06-20:02:57,20/06/2012,02:57:00,p.m.,7.3,DATASET-PGY-WATERQ_pH
2012-06-20:03:15,20/06/2012,03:15:00,p.m.,7.3,DATASET-PGY-WATERQ_pH
2011-02-22:01:01,22/02/2011,01:01:00,p.m.,7,DATASET-PGY-WATERQ_pH
2011-02-22:01:35,22/02/2011,01:35:00,p.m.,7.1,DATASET-PGY-WATERQ_pH
2011-02-22:01:56,22/02/2011,01:56:00,p.m.,7,DATASET-PGY-WATERQ_pH
2011-02-22:02:05,22/02/2011,02:05:00,p.m.,7.1,DATASET-PGY-WATERQ_pH
2013-04-22:06:29,22/04/2013,06:29:00,p.m.,0,DATASET-PGY-WATERQ_pH
2013-04-22:06:50,22/04/2013,06:50:00,p.m.,0,DATASET-PGY-WATERQ_pH
2016-09-22:09:15,22/09/2016,09:15:00,a.m.,7.7,DATASET-PGY-WATERQ_pH
